,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
55,28652,0,159,1,2,100,16,4,2.0,2.0,3.0,4,60.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
56,29108,0,73,1,3,100,1,4,1.0,1.0,1.0,4,15.0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
58,31081,0,115,1,3,90,1,4,1.0,1.0,2.0,4,42.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0
59,31435,0,80,2,3,100,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
60,31652,0,90,1,1,71,1,1,1.0,0.0,0.0,4,15.0,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
61,31893,0,70,1,0,0,1,4,1.0,2.0,1.0,4,40.0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
62,32082,0,128,1,3,100,1,2,1.0,1.0,1.0,4,45.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
64,33114,0,88,1,1,90,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
65,33210,0,65,1,3,100,1,2,1.0,0.0,1.0,3,75.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
67,33993,0,250,1,2,100,1,2,1.0,1.0,1.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
