,lat,lng,name
369,48.823889,2.42285,Suippes
543,48.836527351807,2.4120041840052004,Aire De La Ferté
671,48.859308934361,2.2660864479402,Сквер Бойцов Писателей Воевавших За Францию))
1127,48.843662,2.280288,Квартирка в Париже
