,lat,lng,name
240,48.854085640228995,2.3473814091326,Urgences Médico Judiciaires - Hôpital Hôtel-Dieu
451,48.842959892286,2.3526421938005,Toilettes Publiques Place Monge
611,48.85673535623901,2.3100836309013997,Gorshok chez Adel
683,48.836514320674,2.2919020256346,La Taverne Du Bison Cendré
792,48.839828999999995,2.390243,Croix Rouge DL12 Local Secourisme
890,48.844481,2.249739,Infirmerie De Dupanloup
1008,48.835426,2.339832,Unité de Soins intensifs de Cardiologie de l'Hôpital Cachin
1025,48.894104,2.393872,Infirmerie du Zenith
