,address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,geometry
4275,"Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252254,252254,48.852225,2.347816,Paris,Square René Viviani,2.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252254,,POINT (2.347816 48.852225)
4276,"23 Quai de la Tournelle, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252265,252265,48.85002,2.354407,Paris,Nail Bar La Ritournelle,1.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252265,,POINT (2.354407 48.85002)
4277,"10 Boulevard de la Bastille, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252300,252300,48.847332,2.367538,Paris,La Maison Rouge,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252300,,POINT (2.367538 48.847332)
4278,"13 Rue Parrot, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252301,252301,48.847094,2.374394,Paris,ATLANTIDE SAUNA,5.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252301,,POINT (2.374394 48.847094)
4279,"18 Boulevard Henri IV, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252302,252302,48.851533,2.363724,Paris,Salle des Traditions de la Garde Républicaine,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252302,,POINT (2.363724 48.851533)
4280,"12 Rue de Lesdiguières, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252303,252303,48.853075,2.367106,Paris,Ban Sabaï,3.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252303,,POINT (2.367106 48.853075)
4281,"5 Rue du Faubourg Saint-Antoine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252304,252304,48.853081,2.370834,Paris,Cinéma Métro Art Bastille,5.0,,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252304,,POINT (2.370834 48.853081)
4282,"80 Rue Traversière, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252305,252305,48.850976,2.376086,Paris,Les Cercles de la Forme,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252305,,POINT (2.376086 48.850976)
4283,"9 Rue Biscornet, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252307,252307,48.850331,2.369688,Paris,Opa,5.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252307,,POINT (2.369688 48.850331)
4284,"Rue du Faubourg Saint-Antoine, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252311,252311,48.850446,2.377093,Paris,Square Armand Trousseau,4.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252311,,POINT (2.377093 48.850446)
4285,"242 Rue de Bercy, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252316,252316,48.847304,2.368873,Paris,ASPTT Paris,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252316,,POINT (2.368873 48.847304)
4286,"100 Rue Mouffetard, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252334,252334,48.841275,2.349528,Paris,l'épée de bois,3.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252334,,POINT (2.349528 48.841275)
4287,"34 Rue Daubenton, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252335,252335,48.841145,2.352444,Paris,Cinéma La Clef,3.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252335,,POINT (2.352444 48.841145)
4288,"25 Rue Descartes, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252339,252339,48.846097,2.3491429999999998,Paris,Short Time,3.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252339,,POINT (2.349143 48.846097)
4289,"57 Rue Cuvier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252342,252342,48.844353,2.356287,Paris,"La Ménagerie, le zoo du Jardin des Plantes",2.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252342,,POINT (2.356287 48.844353)
4290,"10 Bis Rue des Boulangers, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252349,252349,48.845816,2.353889,Paris,Palestra Clubs Sté,2.0,,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252349,,POINT (2.353889 48.845816)
4291,"25 Rue Cuvier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252354,252354,48.845673,2.358984,Paris,Laboratoire Reptiles et Amphibiens,1.0,,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252354,,POINT (2.358984 48.845673)
4292,"16 Rue des Colonnes du Trône, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252361,252361,48.845522,2.399124,Paris,Club Med Gym Nation,4.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252361,,POINT (2.399124 48.845522)
4293,"33 Rue Claude Tillier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252363,252363,48.848803,2.388805,Paris,Cap-OrienTan,5.0,,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252363,,POINT (2.388805 48.848803)
4294,"8 Rue Paul Bert, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252364,252364,48.851475,2.384626,Paris,Bora Bora,5.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252364,,POINT (2.384626 48.851475)
4295,"5-7 Rue des Boulets, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252366,252366,48.849549,2.391322,Paris,Passage Clouté,2.0,,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252366,,POINT (2.391322 48.849549)
4296,"5 Rue de Lagny, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252367,252367,48.848929,2.400271,Paris,Club de La Nation,1.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252367,,POINT (2.400271 48.848929)
4297,"87 Rue de Picpus, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252368,252368,48.840246,2.399818,Paris,ACD Relax,3.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252368,,POINT (2.399818 48.840246)
4298,"16 Rue Louis Braille, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252369,252369,48.839651,2.401772,Paris,Fitness Price Paris 12e,1.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252369,,POINT (2.401772 48.839651)
4299,"111 Rue de Charenton, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=252370,252370,48.846732,2.378665,Paris,Institut Spa Caroline Nour,5.0,,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=252370,,POINT (2.378665 48.846732)
