id,nombre,promedio,n_airbnbs,promedio_normalizado
0,Tour Eiffel,205.3887688984881,926,83.40918471989237
1,Musee du Louvre,176.34260230849947,1906,71.61342252947513
2,Cathedrale Notre-Dame de Paris,173.33362106171774,2317,70.39146344194803
3,Musee d Orsay,191.283378746594,734,77.68093044856474
4,"Palais Garnier, Opera National de Paris",170.70918754745634,1317,69.32567069704729
5,Place de la Concorde,206.11888111888112,572,83.70568615657564
6,Arc de Triomphe,218.67194780987884,1073,88.80353578119677
7,Seine River Cruises - Green River Cruises,116.78223495702005,349,47.425723712995385
8,Seine River Cruises - Bateaux Parisiens,231.2458158995816,956,93.90983293542885
9,Seine River Cruises - Vedettes de Paris,208.28439306358382,865,84.58510905188552
10,Seine River Cruises - Batobus Tour Eiffel,213.78929765886286,897,86.82067240189492
11,Seine River Cruises - River Cruise Port,226.85563751317176,949,92.12696427153261
12,Seine River Cruises - Bateau mouche,246.2423887587822,854,99.99999999999999
13,Seine River Cruises - River Limousine,232.0664395229983,587,94.24309140792546
14,Seine River Cruises - Seine Avenue,182.7140992167102,1532,74.20091241711272
15,Seine River Cruises - Vedettes du Pont Neuf,179.55366949575637,2003,72.91744951014353
16,Seine River Cruises - Bateaux Parisiens,174.27962085308056,2110,70.7756376680556
17,Sainte Chapelle,177.59218612818262,2278,72.12088342034036
18,Le Jardin du Luxembourg,176.06378737541527,1505,71.50019469145357
19,Basílica del Sacre Cœur,101.13238852402351,2893,41.070259687535874
20,Pantheon,165.46877192982456,1425,67.19751735836064
21,Place de Vosges,153.29563932002955,2706,62.25396045446796
22,Place Vendome,188.81193693693695,888,76.67726823503817
23,Le Centre Pompidou,165.88920091907073,3917,67.3682552200933
24,Les Invalides,184.15629139072848,755,74.78659231621045
25,Domaine National du Palais-Royal,175.84362826933778,1797,71.41078721486629
26,Place de Bastille,142.88273314866112,2166,58.02523841198938
27,Tour Saint-Jacques,169.5803738317757,3210,68.86725501915747
28,La Conciergerie,175.8635429510892,2433,71.41887464524405
29,Fondation Louis Vuitton,132.61111111111111,18,53.85389241046401
30,Parc de la Villette,80.49538461538461,325,32.6894914482971
31,Paris Plages,172.5757785467128,2890,70.08370062384634
32,Cimetiere du Pere Lachaise,83.52427184466019,1133,33.919534433399335
33,Parc des Buttes-Chaumont,92.35426429240862,1067,37.505429003484196
34,Grand Arche of La Defense,0.0,0,0.0
