id,nombre,promedio,n_airbnbs,promedio_normalizado
0,Tour Eiffel,176.0131599809735,6307,79.42639620529623
1,Musée du Louvre,153.04044404050896,15404,59.23764414324082
2,Cathédrale Notre-Dame de Paris,143.50045617236296,14249,50.85376605742135
3,Musée d'Orsay,162.65675519630486,13856,67.68859622827388
4,"Palais Garnier, Opéra National de Paris",146.84618805590853,15740,53.794043194790135
5,Place de la Concorde,160.5072863046473,13793,65.79961215554877
6,Arc de Triomphe,177.6972010178117,5502,80.9063556077092
7,Seine River Cruises - Green River Cruises,134.2928891605542,9816,42.76202418511019
8,Seine River Cruises - Bateaux Parisiens,177.12102210377802,6379,80.40000131904101
9,Seine River Cruises - Vedettes de Paris,175.96544167228592,5932,79.3844606716218
10,Seine River Cruises - Batobus Tour Eiffel,176.81073539067629,6092,80.12731690788146
11,Seine River Cruises - River Cruise Port,176.63939060782158,6367,79.97673665663277
12,Seine River Cruises - Bateau mouche,173.41265310976334,8409,77.14103349090958
13,Seine River Cruises - River Limousine,166.30477232556183,11881,70.8945259725656
14,Seine River Cruises - Seine Avenue,156.7817856405314,14527,62.52558877016505
15,Seine River Cruises - Vedettes du Pont Neuf,150.0105022216238,14854,56.57488784126703
16,Seine River Cruises - Bateaux Parisiens,144.82610244354206,14037,52.01876300250097
17,Sainte Chapelle,145.96227061079156,14604,53.01724387384614
18,Le Jardin du Luxembourg,154.5077976087333,11542,60.52717549221265
19,Basílica del Sacré Cœur,125.00412813738441,12112,34.59892785177055
20,Panthéon,147.33264633140973,12130,54.22154970024995
21,Place de Vosges,135.09697256386,14798,43.46866420576008
22,Place Vendôme,153.86250483683736,15506,59.960082954569025
23,Le Centre Pompidou,139.3867148554337,16048,47.23855122125868
24,Les Invalides,172.7809222027972,9152,76.58585931456363
25,Domaine National du Palais-Royal,150.40200501253133,15960,56.91894610576298
26,Place de Bastille,133.07534391534392,14175,41.69202797118461
27,Tour Saint-Jacques,143.01701149425287,15225,50.42890794454611
28,La Conciergerie,145.6639945652174,14720,52.75511460947213
29,Fondation Louis Vuitton,199.42379746835442,1975,100.0
30,Parc de la Villette,85.63411958310478,3646,0.0
31,Paris Plages,144.132280091043,14938,51.40902197379471
32,Cimetière du Père Lachaise,115.92435780282263,9849,26.619495531276407
33,Parc des Buttes-Chaumont,111.68589743589743,10764,22.894675806239984
34,Grand Arche of La Défense,141.84615384615384,13,49.399941460187335
