,id,room_type,price,calculated_host_listings_count,latitude,longitude,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker,label
49,26827,0,80,1,48.87426,2.38511,3,100,16,2,1,1,2,4,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
54,27650,0,50,1,48.8629,2.4038,2,100,1,2,1,1,2,1,40,3,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
55,28652,0,159,1,48.85996,2.36755,2,100,16,4,2,2,3,4,60,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
56,29108,0,73,1,48.85552,2.40457,3,100,1,4,1,1,1,4,15,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
58,31081,0,115,1,48.85613,2.30969,3,90,1,4,1,1,2,4,42,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0
59,31435,0,80,2,48.89119,2.35516,3,100,1,2,1,1,1,4,30,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
60,31652,0,90,1,48.83892,2.32201,1,71,1,1,1,0,0,4,15,3,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
61,31893,0,70,1,48.82927,2.35672,0,0,1,4,1,2,1,4,40,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
62,32082,0,128,1,48.84995,2.37373,3,100,1,2,1,1,1,4,45,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
64,33114,0,88,1,48.83977,2.35682,1,90,1,2,1,1,1,4,30,3,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
65,33210,0,65,1,48.85486,2.32885,3,100,1,2,1,0,1,3,75,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0
67,33993,0,250,1,48.8912,2.33447,2,100,1,2,1,1,1,4,80,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
68,34453,1,60,1,48.85043,2.37111,3,100,2,3,1,1,2,4,15,3,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0
69,35065,0,132,1,48.85387,2.3244,2,100,1,2,1.5,1,1,4,30,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
72,36586,0,50,1,48.88047,2.39408,0,33,1,1,0,1,1,4,15,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
74,37801,0,110,1,48.84106,2.28245,2,100,1,7,1.5,2,4,4,0,3,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
77,39651,0,59,1,48.8493,2.39022,1,60,1,2,1,1,1,4,15,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
78,39666,0,922,1,48.85172,2.35504,3,100,1,4,1.5,1,2,3,134,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3
79,39716,0,140,1,48.88745,2.34695,3,100,1,5,1.5,2,4,4,80,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0
81,40143,0,139,1,48.85672,2.37771,2,80,1,4,1,1,1,4,35,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
82,40174,0,95,1,48.85362,2.36336,2,100,1,2,1,1,1,3,54,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0
85,41106,0,175,1,48.85768,2.35545,3,100,1,4,1,1,0,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
86,41213,0,166,1,48.86091,2.36529,3,100,1,2,1.5,1,1,4,40,3,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
88,42348,0,75,1,48.8783,2.33966,2,100,1,2,1,1,1,4,30,3,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,42507,0,78,1,48.88868,2.37544,2,78,1,4,1.5,1,3,4,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
90,43027,0,150,1,48.88747,2.32604,1,100,1,4,1,1,2,4,20,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
92,43355,0,60,1,48.86965,2.36719,1,83,1,2,1,1,1,4,30,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
93,43500,0,155,79,48.88487,2.34445,1,65,1,4,1,1,3,4,70,3,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2
94,44123,0,215,79,48.85329,2.35978,1,65,1,6,1,2,4,4,90,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
95,44130,0,158,79,48.85494,2.36297,1,65,1,4,1,1,2,4,70,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
96,44198,0,92,2,48.87095,2.35622,2,100,1,4,1,1,2,2,80,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0
98,45630,1,34,2,48.89078,2.3601,2,100,1,2,1,1,1,2,9,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
101,47155,0,130,1,48.84299,2.25845,2,71,1,3,1,2,2,4,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0
102,48498,0,175,79,48.86563,2.33244,1,65,1,4,1,1,3,4,70,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,2
103,48584,0,165,79,48.85316,2.36302,1,65,1,4,1,1,2,4,60,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
104,48592,0,190,79,48.87204,2.30966,1,65,1,5,1,1,4,4,70,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
107,52157,0,320,1,48.85793,2.35864,2,100,1,4,1.5,2,3,4,80,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,2
108,52706,0,85,1,48.87851,2.37161,3,100,1,3,1,1,2,4,40,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0
109,53036,0,71,2,48.85959,2.38141,3,88,1,2,1.5,1,1,4,54,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
110,53353,0,160,1,48.88929,2.3518,2,100,1,3,2.5,2,1,4,150,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
111,53567,1,48,1,48.83631,2.40076,1,67,1,2,1,1,1,4,30,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
113,53923,0,120,1,48.8588,2.36659,3,100,1,4,1,1,1,4,50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
114,54377,0,61,1,48.89057,2.35902,1,100,1,3,1,1,1,4,22,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
115,55071,0,110,2,48.87937,2.34331,3,89,1,2,1,1,1,4,25,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0
116,55239,0,360,1,48.87204,2.31421,2,100,1,4,2,1,2,4,150,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,2
117,55348,0,117,5,48.85816,2.36028,2,90,1,2,1,0,1,4,60,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
118,56662,0,150,1,48.87516,2.38382,2,100,1,5,1.5,2,2,4,35,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
120,57766,0,630,2,48.8397,2.30442,2,100,13,14,2,5,8,4,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2
122,59182,0,65,1,48.87082,2.29138,1,90,1,2,1,1,1,3,40,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
123,59508,0,99,1,48.83329,2.33063,2,100,1,6,2,3,3,4,100,3,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
